Country,Region,Province,Season,Date_ISO,Date,Meet,Venue,Event,Distance,Stroke,Rank,Canonical_Swimmer,Swimmer,Match_Score,Manual_Match,Club,Time,Time_Seconds,FINA_Points,Source_URL,Source_File
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,17,"BUKHOBZA IDMOUHINE, Rayan","BUKHOBZA IDMOUHINE, Rayan",100.0,No,C.N.E. Gandia,1:46.88,106.88,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,2,"BURJAN, Gergely Peter","BURJAN, Gergely Peter",100.0,No,Club Natación Alfa Torrevieja,1:25.94,85.94,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Xàtiva,100m Estilos,,Medley,4,"CAMBRA GRAMAGE, Carles",,,,C.N. Xativa,01:34.58,94.58,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,4,"CAMBRA GRAMAGE, Carles","CAMBRA GRAMAGE, Carles",100.0,No,C.N. Xativa,1:34.58,94.58,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Xàtiva,100m Estilos,,Medley,12,"CAMPOS POLO, Christian",,,,C.N. Neptuno-L´alcudia,02:01.23,121.23,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,12,"CAMPOS POLO, Christian","CAMPOS POLO, Christian",100.0,No,C.N. Neptuno-L´alcudia,2:01.23,121.23,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,22,"CARBONE, Aldo",,,,C.N.A Morvedre,02:02.69,122.69,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,22,"CARBONE, Aldo","CARBONE, Aldo",100.0,No,C.N.A Morvedre,2:02.69,122.69,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,9,"CARULL RIBERA, Eliseo","CARULL RIBERA, Eliseo",100.0,No,C.N. Villena Alto Vinalopo,1:44.08,104.08,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,10,"CATALA SABORIT, Victoria","CATALA SABORIT, Victoria",100.0,No,C.N. Piscis-Mislata,1:44.28,104.28,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,5,"CEREZUELA GOMEZ, Eva","CEREZUELA GOMEZ, Eva",100.0,No,C.N. Petrer,1:46.33,106.33,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Xàtiva,100m Estilos,,Medley,9,"CHORDA NADAL, Marc",,,,C.N. Trencaones Alzira,01:44.99,104.99,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,9,"CHORDA NADAL, Marc","CHORDA NADAL, Marc",100.0,No,C.N. Trencaones Alzira,1:44.99,104.99000000000001,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,3,"CORDOBA BERNABEU, Ruben",,,,C.N. La Costera,01:29.86,89.86,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,3,"CORDOBA BERNABEU, Ruben","CORDOBA BERNABEU, Ruben",100.0,No,C.N. La Costera,1:29.86,89.86,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,10,"DAUDEN CLAVER, Marcos",,,,C.N. Quart De Poblet,01:39.48,99.48,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,10,"DAUDEN CLAVER, Marcos","DAUDEN CLAVER, Marcos",100.0,No,C.N. Quart De Poblet,1:39.48,99.47999999999999,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,4,"DIETRICH, Franco",,,,C.N.E. Gandia,01:30.95,90.95,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,4,"DIETRICH, Franco","DIETRICH, Franco",100.0,No,C.N.E. Gandia,1:30.95,90.95,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin San Vicente,San Vicente,100m Medley,100.0,Medley,9,"DIEZ IBAÑEZ, Rocio","DIEZ IBAÑEZ, Rocio",100.0,No,C.N.Red Mar Top Ten Alicante,1:44.57,104.57,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf,1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,3,"DO NASCIMENTO BROTONS, Mark","DO NASCIMENTO BROTONS, Mark",100.0,No,C.N. Tenis Elche,1:26.84,86.84,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin San Vicente,San Vicente,100m Medley,100.0,Medley,1,"EGEA LUENGO, Adriana","EGEA LUENGO, Adriana",100.0,No,Club Natacion C.M.D. Horadada,1:24.50,84.5,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf,1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,2,"ESPERT GARCIA, Irene","ESPERT GARCIA, Irene",100.0,No,C.N. Neptuno-L´alcudia,1:28.92,88.92,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,11,"ESTRADA CASTELLO, Alejandra","ESTRADA CASTELLO, Alejandra",100.0,No,Club Deportivo Caxton College,1:37.28,97.28,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,15,"FERRI BELLVER, Pepa","FERRI BELLVER, Pepa",100.0,No,C.N. Bosco,1:42.61,102.61,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,14,"FLOREA, Nicol Maria","FLOREA, Nicol Maria",100.0,No,C.N. Denia,1:39.87,99.87,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,2,"FLOX VOLOHOVA, Erik",,,,C.N.A Morvedre,01:27.00,87.0,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,2,"FLOX VOLOHOVA, Erik","FLOX VOLOHOVA, Erik",100.0,No,C.N.A Morvedre,1:27.00,87.0,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,11,"FORTEA RAMON, Beatriz","FORTEA RAMON, Beatriz",100.0,No,C.N. Trencaones Alzira,1:50.48,110.47999999999999,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,4,"FRANCO ROMA, Adrian","FRANCO ROMA, Adrian",100.0,No,C.N. Tenis Elche,1:35.92,95.92,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,6,"GARCÍA ALMIÑANA, Vega","GARCÍA ALMIÑANA, Vega",100.0,No,C.E. Eldense,1:48.05,108.05,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,8,"GARCIA MARTI, Emma","GARCIA MARTI, Emma",100.0,No,C.N.E. Gandia,1:34.94,94.94,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin San Vicente,San Vicente,100m Medley,100.0,Medley,4,"GARCIA REQUENA, Hera","GARCIA REQUENA, Hera",100.0,No,C.N. San Vicente,1:30.97,90.97,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf,1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin San Vicente,San Vicente,100m Medley,100.0,Medley,7,"GAYA ALVES, Aurea","GAYA ALVES, Aurea",100.0,No,Club Natació Ondara,1:33.02,93.02000000000001,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf,1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin San Vicente,San Vicente,100m Medley,100.0,Medley,3,"GOLUBA, Arina","GOLUBA, Arina",100.0,No,Club Natacion C.M.D. Horadada,1:27.57,87.57,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf,1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,6,"GOMEZ HURTADO, Enzo","GOMEZ HURTADO, Enzo",100.0,No,C.N. Tenis Elche,1:40.43,100.43,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,7,"GOMEZ VELEZ, Jesus",,,,C.N.E. Gandia,01:38.48,98.48,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,7,"GOMEZ VELEZ, Jesus","GOMEZ VELEZ, Jesus",100.0,No,C.N.E. Gandia,1:38.48,98.47999999999999,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,24,"GONZALEZ CHOVA, Christian",,,,C.N.E. Gandia,02:29.90,149.9,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,24,"GONZALEZ CHOVA, Christian","GONZALEZ CHOVA, Christian",100.0,No,C.N.E. Gandia,2:29.90,149.9,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,19,"GREGORI PARDO, Raimon",,,,Club Natacion Oliva,01:53.64,113.64,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,19,"GREGORI PARDO, Raimon","GREGORI PARDO, Raimon",100.0,No,Club Natacion Oliva,1:53.64,113.64,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,13,"HERRERO AMEZCUA, Mariam","HERRERO AMEZCUA, Mariam",100.0,No,C.N. Xuquer,1:52.26,112.25999999999999,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,3,"HERRERO HERRERO, Maria Jose","HERRERO HERRERO, Maria Jose",100.0,No,C.N. Sax,1:34.54,94.53999999999999,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,11,"HUBAR, Nikita","HUBAR, Nikita",100.0,No,Club Natación Alfa Torrevieja,2:07.17,127.17,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,6,"IASCHUK MINOZZI, Chloe","IASCHUK MINOZZI, Chloe",100.0,No,C.N. Xativa,1:36.24,96.24000000000001,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,18,"JABERANSARI, Delaram","JABERANSARI, Delaram",100.0,No,C.N.A Morvedre,1:46.72,106.72,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin San Vicente,San Vicente,100m Medley,100.0,Medley,7,"JEVLOLIMENKO, Artem","JEVLOLIMENKO, Artem",100.0,No,C.N. Torrevieja,1:40.94,100.94,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf,1578_Ali_2025_10_1_Benjamin_Alevin_San_Vicente.pdf
